canonical_position	fold_key	exact_spellings
501	unused spine lower item_ssx h #2	unused spine lower item_SSX H #2
502	wep_paddle2	WEP_Paddle2
503	key.black_11	Key.Black_11
504	arm left elbow adjust b	arm left elbow adjust b
505	key.black_13	Key.Black_13
506	unused head neck upper attached_head root ground	unused head neck upper attached_head root ground
507	right arm twist	Right arm twist
508	009	009
509	l_thumb1b_00001	l_thumb1b_00001
510	bottle4_liquid	bottle4_liquid
511	front bar 5_2	Front bar 5_2
512	lshoulderjb	LShoulderJb
513	torso pipe b l 1c	torso pipe B L 1c
514	head hat wardpaper 2	head hat wardpaper 2
515	object39	Object39
516	strings 1	strings 1
517	nipplepoke	NipplePoke
518	mo3l+mo3r	MO3L+MO3R
519	valvebiped.joint1	ValveBiped.joint1
520	bip_b_nic_head	bip_B_Nic_Head
521	adjust_knuckle_c_r	adjust_knuckle_C_R
522	bip facelipbumploout r	bip facelipbumploout r
523	flm-arma-sworda-g	Flm-ArmA-SwordA-G
524	lassimpactextrude1	LAssImpactExtrude1
525	shoulder wraps shadow	shoulder wraps SHADOW
526	wall door a	WALL DOOR A
527	rhumb0	rhumb0
528	arm right shoulder adjuster	Arm Right Shoulder Adjuster
529	fa_temple_right	fa_temple_right
530	vaginagapeheight	VaginaGapeHeight
531	x_shift_6	x_shift_6
532	bipqwn r finger4	BipQwn R Finger4
533	bip_pigtail_l_3	bip_pigtail_L_3
534	key.black_18	Key.Black_18
535	helper.skin.r_quad	Helper.Skin.R_Quad
536	urethrasidepushright	UrethraSidePushRight
537	rachel head nostril right 1	Rachel head nostril right 1
538	chain_20	chain_20
539	leg left ankle ctr	leg left ankle ctr
540	valvebiped.bip01_r_middle04	ValveBiped.Bip01_R_Middle04
541	finger_ring_left_1	finger_ring_left_1
542	mila head eyeball left	Mila head eyeball left
543	cloth middle 3	cloth middle 3
544	unused f_r_temple	unused f_r_temple
545	bow right 1f	bow right 1f
546	jiggle.tassle_back_1	Jiggle.Tassle_Back_1
547	frily_00.r	Frily_00.R
548	key.white_35	Key.White_35
549	arm left finger 2xx	arm left finger 2xx
550	leg right thigh twist upper 2	leg right thigh twist upper 2
551	bone10	Bone10
552	handcrystaltilt	HandCrystalTilt
553	bip_cape_2_r	bip_Cape_2_R
554	pantiespullanus	PantiesPullAnus
555	bip_l_cloth_a	bip_l_cloth_a
556	moustache_l_22	Moustache_L_22
557	eyes-full-squint	Eyes-Full-Squint
558	bip_l_ear1	bip_l_ear1
559	tarsalright	TarsalRight
560	leg left buttock	leg left buttock
561	bone hand	bone hand
562	bip01_l_clavicle011	Bip01_L_Clavicle011
563	r_finger3a_00004	r_finger3a_00004
564	rc1	RC1
565	microphone_3	Microphone_3
566	tail_mid_c	tail_mid_c
567	shellbase	ShellBase
568	muscular legs	Muscular Legs
569	crow_2.phalanges2_r	Crow_2.Phalanges2_R
570	wep_fireselect_left	WEP_FireSelect_Left
571	bobcut.rear_right_3_jiggle	Bobcut.Rear_Right_3_jiggle
572	wep_magazine1	WEP_Magazine1
573	frigate	frigate
574	arm right elbow ctr1	arm right elbow ctr1
575	pplane3	pPlane3
576	cloth_side_a_2_l	cloth_side_A_2_L
577	leg fix side 90 l	Leg Fix Side 90 L
578	bip01_l_hand009	Bip01_L_Hand009
579	l_front_holster_0u_15v	l_front_holster_0u_15v
580	14	14
581	lkakato01n	LKakato01N
582	bipmar r finger1	BipMar R Finger1
583	dummy06	Dummy06
584	detremote	detremote
585	wep_foregrip_nojiggle_child3	WEP_Foregrip_NoJiggle_Child3
586	rebootface	RebootFace
587	leftmasseter	LeftMasseter
588	labiaspread	LabiaSpread
589	arm right finger knuckle ring	arm right finger knuckle ring
590	body-r-pussy-rub	Body-R-Pussy-Rub
591	root ground.001	root ground.001
592	longear_bone_l_02	longear_bone_l_02
593	strings 5	strings 5
594	object033_003	Object033_003
595	lipnasolabialcrease_r	LipNasolabialCrease_R
596	hips clip adjust	hips clip adjust
597	hose_12	Hose_12
598	bip_cloth_a_02	bip_cloth_a_02
599	footright	FootRight
600	cord12	Cord12
601	doodad.bell_root_left	Doodad.Bell_Root_Left
602	bone116	Bone116
603	byoung	Byoung
604	r3rdna	R3rdNa
605	eye closed	Eye closed
606	rring0	rRing0
607	bip_back_cloth_a_02	bip_back_cloth_a_02
608	wep_boxmagazine_bullet3	WEP_BoxMagazine_Bullet3
609	rope_holster	rope_holster
610	cc_butt.l	cc_Butt.l
611	shorthair_bone_05	shortHair_bone_05
612	dyng d 01	dyng d 01
613	d_bicepsmucle_r	D_bicepsMucle_R
614	l_fin_front_a	l_fin_front_a
615	bullet earring 3	bullet earring 3
616	watch_face_helper	watch_face_helper
617	gag_l_01	Gag_L_01
618	c ulipout	C Ulipout
619	phalangesleft	PhalangesLeft
620	c ujacketa b phy	C uJacketA b Phy
621	wep_boltcharger_2	WEP_BoltCharger_2
622	bikini nipple movement r	Bikini Nipple Movement R
623	lid_2	lid_2
624	opt_acs_earringl5	OPT_acs_earringl5
625	valvebiped.bip01_r_testicle01	ValveBiped.Bip01_R_Testicle01
626	bip thightwistbottom r	bip thightwistbottom r
627	thumb_left_2	thumb_left_2
628	left_small_labia4	Left_Small_Labia4
629	loincloth_front_4	Loincloth_front_4
630	eye-l-furrow	Eye-L-Furrow
631	hatcloth_bone_02	hatCloth_bone_02
632	top_4	Top_4
633	shorthair_bone_12	shortHair_bone_12
634	cockskinback	CockSkinBack
635	wep_fx_muzzle6	WEP_FX_Muzzle6
636	wep_foregrip_nojiggle_child1	WEP_Foregrip_NoJiggle_Child1
637	eye shine move down	Eye shine move down
638	earleft4	EarLeft4
639	bobcut.back_2	Bobcut.Back_2
640	pillow 2	Pillow 2
641	shape-athletic-cleavage	shape-athletic-cleavage
642	flareshide	flaresHide
643	strecthlips	StrecthLips
