silkworm_literal	current_master_match	current_master_path	review_status	reason	match_type
ValveBiped.Bip01_Genitals	ValveBiped.Bip01_Genitals	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
Horse 05_Soraka_HorseCock.dmx	Horse 05_Soraka_HorseCock.dmx	groupFile/Body Morphs	EXCLUDE	mesh filename/.dmx artifact, not a pose control.	EXACT
Human-03_Mesh_Human_03.dmx	Human-03_Mesh_Human_03.dmx	groupFile/Body Morphs	EXCLUDE	mesh filename/.dmx artifact, not a pose control.	EXACT
bip_genitals	bip_genitals	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
bip_privates	bip_privates	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
valvebiped.bip01_root	valvebiped.bip01_root	groupFile/Body Morphs	EXCLUDE	generic whole-skeleton root bone, not genital-specific; misplaced into this bucket.	EXACT
Gentials	Gentials	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
DONOTMOVE	DONOTMOVE	groupFile/Body Morphs	EXCLUDE	internal placeholder/warning label, not an anatomy control.	EXACT
Crotch-Hide	Crotch-Hide	groupFile/Body Morphs	EXCLUDE	visibility/hide toggle, not a direct-pose structural control.	EXACT
GenitalsUp	GenitalsUp	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
SFW MODE	SFW MODE	groupFile/Body Morphs	EXCLUDE	SFW/NSFW mode toggle.	EXACT
Penis cutout	Penis cutout	groupFile/Body Morphs	EXCLUDE	FINAL HUMAN DECISION: EXCLUDE (superseding this project's prior HUMAN_REVIEW flag from Phase A1).	EXACT
Genital Innards (Scale only)	Genital Innards (Scale only)	groupFile/Body Morphs	INCLUDE	"FINAL HUMAN DECISION: INCLUDE (superseding this project's prior EXCLUDE classification from Phase A1). Reclassified as a direct structural scaling bone -- ""Scale only"" describes its allowed manipulation, not a morph/shape implementation."	EXACT
Pubic_Area	Pubic_Area	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
genitails root	genitails root	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
ValveBiped.Bip01_GenitalRoot	ValveBiped.Bip01_GenitalRoot	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
Genitals	Genitals	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
Genitals_Root	Genitals_Root	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
Genitals.000	Genitals.000	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
Genitals.001	Genitals.001	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
Genitals.002	Genitals.002	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
Genitals.003	Genitals.003	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
Genitals.004	Genitals.004	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
Genitals.005	Genitals.005	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
Genitals.006	Genitals.006	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
Genitals.007	Genitals.007	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
Genitals.008	Genitals.008	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
Genitals.009	Genitals.009	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
Genitals.010	Genitals.010	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
Genitals.011	Genitals.011	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
Hidegenitals	Hidegenitals	groupFile/Body Morphs	EXCLUDE	"visibility/state (""Hide"") control, not a direct-pose structural control."	EXACT
groin	groin	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
Gens	Gens	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
bip_crotch	bip_crotch	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
Gen.Root	Gen.Root	groupFile/Body Morphs	INCLUDE	Direct-pose genital-anatomy structural control.	EXACT
