origin_population	current_master_path	exact_literal	ascii_fold_key	source_bucket	chatgpt_decision	claude_decision	joint_status	user_decision	final_decision
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_00	bladder_00	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_01	bladder_01	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_02	bladder_02	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_03	bladder_03	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_04	bladder_04	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_05	bladder_05	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_06	bladder_06	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_07	bladder_07	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_08	bladder_08	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_09	bladder_09	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_10	bladder_10	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_11	bladder_11	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_12	bladder_12	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_13	bladder_13	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_14	bladder_14	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_15	bladder_15	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_16	bladder_16	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_17	bladder_17	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_18	bladder_18	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_19	bladder_19	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BLADDER_20	bladder_20	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	FLEX	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BallsHoleClosed	ballsholeclosed	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Base Back Short	base back short	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Base Curve	base curve	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Base Define	base define	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Base Inflate	base inflate	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Base Knot Bulge 1	base knot bulge 1	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Base Knot Bulge 2	base knot bulge 2	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Base Sheath Long	base sheath long	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Base Tall	base tall	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Base Tip Closed	base tip closed	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Base Tip Open	base tip open	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Base Tip Open Knot	base tip open knot	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Base Top Closed 	base top closed 	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BaseIn	basein	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BaseShrink	baseshrink	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Big Urethra	big urethra	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Bip_HeadFinL_L	bip_headfinl_l	groupFile > Body Shape Controls > Special Parts	BONE	BONE	CONSENSUS_BONE		BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Bip_HeadFinL_R	bip_headfinl_r	groupFile > Body Shape Controls > Special Parts	BONE	BONE	CONSENSUS_BONE		BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Bip_HeadFinM_L	bip_headfinm_l	groupFile > Body Shape Controls > Special Parts	BONE	BONE	CONSENSUS_BONE		BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Bip_HeadFinM_R	bip_headfinm_r	groupFile > Body Shape Controls > Special Parts	BONE	BONE	CONSENSUS_BONE		BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Bip_HeadFinR_L	bip_headfinr_l	groupFile > Body Shape Controls > Special Parts	BONE	BONE	CONSENSUS_BONE		BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Bip_HeadFinR_R	bip_headfinr_r	groupFile > Body Shape Controls > Special Parts	BONE	BONE	CONSENSUS_BONE		BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Bip_Urethra_L	bip_urethra_l	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	BONE	CONSENSUS_BONE		BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Bip_Urethra_R	bip_urethra_r	groupFile > Body Shape Controls > Shared or Ambiguous	BONE	BONE	CONSENSUS_BONE		BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Body-Genitals-Lower	body-genitals-lower	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Body-Genitals-Raise	body-genitals-raise	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Body-SFW	body-sfw	groupFile > Body Shape Controls	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BodyGenitalsLower	bodygenitalslower	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BodyGenitalsRaise	bodygenitalsraise	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	BodyshapeMale	bodyshapemale	groupFile > Body Shape Controls	FLEX	FLEX	CONSENSUS_FLEX		FLEX
TRUE_SOURCE_ABSENT	groupFile/Body Morphs	BoobJobL	boobjobl	(none -- true source absent)	FLEX	FLEX	CONSENSUS_FLEX		FLEX
TRUE_SOURCE_ABSENT	groupFile/Body Morphs	BoobJobR	boobjobr	(none -- true source absent)	FLEX	FLEX	CONSENSUS_FLEX		FLEX
TRUE_SOURCE_ABSENT	groupFile/Body Morphs	BreastPress 	breastpress 	(none -- true source absent)	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Bulb Shrink	bulb shrink	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
TRUE_SOURCE_ABSENT	groupFile/Body Morphs	CC_Base_L_Breast	cc_base_l_breast	(none -- true source absent)	BONE	BONE	CONSENSUS_BONE		BONE
TRUE_SOURCE_ABSENT	groupFile/Body Morphs	CC_Base_R_Breast	cc_base_r_breast	(none -- true source absent)	BONE	BONE	CONSENSUS_BONE		BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	CanineUrethra	canineurethra	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	CatSheath	catsheath	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Censor	censor	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Crotch-Expand	crotch-expand	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Crotch-Urethra-Open	crotch-urethra-open	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Cum0	cum0	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX	FLEX	FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Cum5	cum5	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX	FLEX	FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Cum6	cum6	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX	FLEX	FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Cum7	cum7	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX	FLEX	FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Cum8	cum8	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX	FLEX	FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Cum9	cum9	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX	FLEX	FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	DEF-AdjustBackLower	def-adjustbacklower	groupFile > Body Shape Controls > Special Parts	BONE	BONE	CONSENSUS_BONE	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	DEF-AdjustBackMiddle	def-adjustbackmiddle	groupFile > Body Shape Controls > Special Parts	BONE	BONE	CONSENSUS_BONE		BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	DEF-AdjustBackTop	def-adjustbacktop	groupFile > Body Shape Controls > Special Parts	BONE	BONE	CONSENSUS_BONE		BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	DEF-AdjustFrontTop	def-adjustfronttop	groupFile > Body Shape Controls > Special Parts	BONE	BONE	CONSENSUS_BONE		BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	DEF-AdjustMiddle.L	def-adjustmiddle.l	groupFile > Body Shape Controls > Special Parts	BONE	BONE	CONSENSUS_BONE		BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	DEF-AdjustMiddle.R	def-adjustmiddle.r	groupFile > Body Shape Controls > Special Parts	BONE	BONE	CONSENSUS_BONE		BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	DEF-AdjustUpper.L	def-adjustupper.l	groupFile > Body Shape Controls > Special Parts	BONE	BONE	CONSENSUS_BONE		BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	DEF-AdjustUpper.R	def-adjustupper.r	groupFile > Body Shape Controls > Special Parts	BONE	BONE	CONSENSUS_BONE		BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	DEF-Sheath	def-sheath	groupFile > Body Shape Controls > Special Parts	BONE	BONE	CONSENSUS_BONE		BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	D_Knot	d_knot	groupFile > Body Shape Controls > Special Parts	BONE	UNCLEAR	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Dildo	dildo	groupFile > Body Shape Controls > Special Parts	FLEX	UNCLEAR	DISAGREEMENT	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Ejack1L	ejack1l	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
