fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
bone121	Bone121	OPAQUE	a generic numbered bone with no functional or regional word	NOT_APPLICABLE		High		bare numbered bone, no anatomical/functional content (rule 22 Bone041 example)	P81	
wwexpansionvaginawidth	WWExpansionVaginaWidth	CLEAR	a vagina-width expansion shape control	CLEAR	groupFile/Body Morphs	High		matches sibling WWExpansion<Region>Width template (wwexpansionanuswidth, CLEAR/CLEAR/Body Morphs); genital width shape param, no skeletal joint (rule 7)	P81	
fang right1	fang right1	CLEAR	a right fang (tooth), numbered variant	CLEAR	groupFile/Face/Lower Face	High		direct precedent fang left1 / fang right 2, both CLEAR/CLEAR/Face/Lower Face	P81	
waistreveal	WaistReveal	CLEAR	a waist-area clothing reveal/exposure function	CLEAR	groupFile/Clothing	Medium	no garment named, but 'reveal' inherently a clothing-cutout mechanism	'reveal' is an inherently clothing-mechanism function word (sibling RevealShirt -> Clothing); function has one stable reading even with owner unstated (rule 22)	P81	
leftclothpullaside	LeftClothPullAside	CLEAR	a left cloth-pull-aside garment adjustment control	CLEAR	groupFile/Clothing	High		matches ClothPull family (leftclothpulltogether/rightclothpulltogether, CLEAR/CLEAR/Clothing)	P81	
d_right	D_Right	OPAQUE	a bare single-letter code plus side marker, no grounding	NOT_APPLICABLE		High		ungrounded abbreviation with no coherent sibling series (rule 23); side marker alone provides no content	P81	
it's your funeral	It's your funeral	OPAQUE	a bare joke/flavor-text phrase with no owning object or feature	NOT_APPLICABLE		Medium		matches prior bare-phrase-no-referent OPAQUE precedent (e.g. 'watergone', 'try me', 'dead slider')	P81	
bone167	Bone167	OPAQUE	a generic numbered bone with no functional or regional word	NOT_APPLICABLE		High		bare numbered bone, no anatomical/functional content (rule 22 Bone041 example)	P81	
armcloth_right_3	ArmCloth_Right_3	CLEAR	a right arm-cloth garment control, numbered	CLEAR	groupFile/Clothing	High		direct sibling armcloth_left_3, CLEAR/CLEAR/Clothing	P81	
bipfin rcalftwist1	BipFin RCalfTwist1	CLEAR	a right calf twist bone, numbered (BipFin is a rig/character namespace prefix)	CLEAR	groupFile/Legs	Medium	'BipFin' prefix meaning not independently confirmed	model/rig prefix set aside (rule 24); remainder 'RCalfTwist1' is ordinary leg twist bone (rule 3, twist not corrective)	P81	
sign09	sign09	CLEAR	a numbered sign prop	CLEAR	groupFile/Other	High		matches sign02/03/04/07/08 sibling series, all CLEAR/CLEAR/Other	P81	
exfear	EXFear	CLEAR	a whole-face 'fear' expression preset (EX prefix ungrounded but does not block core reading)	CLEAR	groupFile/Face/Expressions	High		bare whole-emotion word with no compounded facial feature, matches established bare-emotion-word-to-Expressions pattern (cangry2, anime angry bottom)	P81	
c throat a	C Throat A	CLEAR	a bare structural throat control, center, variant A	CLEAR	groupFile/Body	High		ordinary structural anatomy, no shape/deformation word (rule 6); distinct from the throat-widen/-bulge Body-Morphs subfamily	P81	
wep_shell9	WEP_Shell9	CLEAR	a numbered weapon shell/casing prop	CLEAR	groupFile/Other	High		matches wep_shell1/5/6/7/8 sibling series, all CLEAR/CLEAR/Other	P81	
castere_0	CasterE_0	CLEAR	a lettered/numbered caster-series prop or rig element	CLEAR	groupFile/Other	High		direct sibling series CasterA_0/CasterB_0/CasterC_0, all CLEAR/CLEAR/Other	P81	
bone097	Bone097	OPAQUE	a generic numbered bone with no functional or regional word	NOT_APPLICABLE		High		bare numbered bone, no anatomical/functional content	P81	
bone 1105	bone 1105	OPAQUE	a generic numbered bone with no functional or regional word	NOT_APPLICABLE		High		bare numbered bone (space variant), no anatomical/functional content	P81	
l ujacketb a phy	L uJacketB a Phy	CLEAR	a left uJacketB garment physics control, variant A	CLEAR	groupFile/Clothing	High		matches uJacketB sibling family (l/r ujacketb spo, c ujacketb c phy), all CLEAR/CLEAR/Clothing	P81	
def-spine.032	DEF-spine.032	CLEAR	an anatomical spine deformation-rig bone, numbered	CLEAR	groupFile/Body	High		matches DEF-spine.021/.031/.006_l/.006_r sibling series, all CLEAR/CLEAR/Body; DEF- generic rig prefix + spine, no garment/hair noun (rule 14)	P81	
leg right calf	leg right calf	CLEAR	an ordinary right calf leg control	CLEAR	groupFile/Legs	High		plain structural leg anatomy (rule 6)	P81	
bas.right_3	BAS.Right_3	OPAQUE	a bare BAS.<position> internal-namespace label with no function word	NOT_APPLICABLE		High		matches majority bare-position BAS. precedent (bas.right_1, bas.right_2, both OPAQUE/NOT_APPLICABLE); namespace set aside per rule 6, no content remains	P81	
