fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
bip_bot_bend_l	bip_bot_bend_l	CLEAR	a buttock/bottom bend function, left	CLEAR	groupFile/Body	Low		Structural bend/pose function on buttock anatomy; no explicit shape/size descriptor to move it to Body Morphs.	P75	
bip01_spine1_008	Bip01_Spine1_008	CLEAR	spine anatomy, standard biped rig, numbered	CLEAR	groupFile/Body	High		Plain structural spine anatomy.	P75	
glass_d2_d	glass_d2_d	PARTIAL	'glass' (drinking glass / window glass / eyeglasses), numbered, variant	NEEDS_CONTEXT		Low	materially different core senses compete	Matches established multi-sense 'glass' precedent (this ledger).	P75	
spike_03_m	Spike_03_M	CLEAR	a spike appendage/prop, numbered, variant M	CLEAR	groupFile/Other	Medium		Recognized generic spike object, species-neutral appendage-like, no dedicated destination (Rule 18 spirit).	P75	
bip_stone_l_uparmtwist	Bip_STONE_L_UpArmTwist	CLEAR	upper-arm twist, left, 'STONE' rig/character qualifier	CLEAR	groupFile/Arms	High		Standard rig twist-bone anatomy (Rule 3); upper-arm-twist reading is stable regardless of the 'STONE' qualifier.	P75	
scrotumsmallerl	ScrotumSmallerL	CLEAR	scrotum anatomy, smaller-size state, left	CLEAR	groupFile/Body Morphs	High		Explicit size descriptor on genital anatomy.	P75	
bip_bowtielower_r	bip_BowtieLower_R	CLEAR	a bowtie garment, lower, right	CLEAR	groupFile/Clothing	High		Explicit worn garment accessory.	P75	
flm-armb-float-b2	Flm-ArmB-Float-B2	OPAQUE	an unexplained 'float' technical descriptor under the Flm-ArmB namespace	NOT_APPLICABLE		Medium		Flm-ArmB namespace set aside (Rule 6); remaining 'Float' is a generic technical term identifying no specific object.	P75	
bipmar lthightwist1	BipMar LThighTwist1	CLEAR	left thigh twist, BipMar namespace, numbered	CLEAR	groupFile/Legs	High		Standard rig twist-bone anatomy (Rule 3); BipMar is an established Mar-Rig namespace prefix.	P75	
r_tricep_helper	r_tricep_helper	CLEAR	a right tricep helper bone	CLEAR	groupFile/Arms	High		Explicit tricep anatomy; 'helper' is a common auxiliary-bone rig term.	P75	
head_nostril_1_l	head_nostril_1_L	CLEAR	nostril/nose anatomy, left, numbered	CLEAR	groupFile/Face/Mid Face	High		'Head' is a location prefix; nostril is a mid-face feature.	P75	
midbrows_raise_r	midbrows_raise_r	CLEAR	brow raise action, middle, right	CLEAR	groupFile/Face/Upper Face	High		Explicit brow anatomy.	P75	
arm left shoulder adj a	arm left shoulder adj a	CLEAR	a left shoulder adjuster control, variant A	CLEAR	groupFile/Arms	High		Explicit shoulder anatomy.	P75	
ref iphone 13 pro	REF IPHONE 13 PRO	CLEAR	an iPhone 13 Pro reference prop	CLEAR	groupFile/Other	High		Recognized real-world product prop object (Rule 16); 'REF' is a common reference-object marker.	P75	
bip fpinky00 l	bip fpinky00 l	CLEAR	left pinky finger anatomy, numbered	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		Explicit pinky-finger anatomy.	P75	
sidelockleft1 jiggle	SideLockLeft1 jiggle	CLEAR	a hair sidelock strand, left, numbered, jiggle-physics	CLEAR	groupFile/Hair	High		'Sidelock' is an unambiguous hairstyle term.	P75	
pcylinder4	pCylinder4	OPAQUE	a DCC default primitive mesh name	NOT_APPLICABLE		High		Matches settled DCC-default-name boundary.	P75	
flm-armb-leg-rub	Flm-ArmB-Leg-RUB	CLEAR	leg anatomy, Flm-ArmB namespace, 'RUB' qualifier	CLEAR	groupFile/Legs	Medium		Flm-ArmB namespace set aside; remaining 'Leg' is plain structural anatomy; 'RUB' qualifier ungrounded but doesn't disturb the core reading.	P75	
sash a 1	Sash A 1	CLEAR	a sash garment accessory, variant, numbered	CLEAR	groupFile/Clothing	High		Sash is a recognized worn garment accessory.	P75	
bone.001_l.003	Bone.001_L.003	OPAQUE	a generic numbered rig bone	NOT_APPLICABLE		High		Generic Bone+number pattern.	P75	
bip_r_root_cloth	bip_r_root_cloth	CLEAR	a generic cloth/garment piece, root, right	CLEAR	groupFile/Clothing	Medium		'Cloth' names a fabric garment piece.	P75	
