fold_key	exact_spellings	readability_state	confidence	proposed_destination_if_A	meaning_and_taxonomy_question_if_B	understandable_vs_missing_if_C	opacity_reason_if_D	reasoning
 side1lf	 SIDE1LF	C	Low			recognizable word(s) present: ['generic_vague', 'unknown'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
 side1rf	 SIDE1RF	C	Low			recognizable word(s) present: ['generic_vague', 'unknown'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
(flex) arms	(FLEX) Arms	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
(flex) arms + top	(FLEX) Arms + Top	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
(flex) bottom	(FLEX) Bottom	C	Medium			recognizable word(s) present: ['tech_vague', 'generic_vague'] -- only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them		only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them
(flex) bottom + foot	(FLEX) Bottom + Foot	A	High	groupFile/Legs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
(flex) foot	(FLEX) Foot	A	High	groupFile/Legs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
(flex) top	(FLEX) Top	C	Medium			recognizable word(s) present: ['tech_vague', 'generic_vague'] -- only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them		only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them
(ripped) pants (pants) 	(RIPPED) Pants (PANTS) 	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
(ripped) shirt (shirt)	(RIPPED) Shirt (SHIRT)	B	Medium		referent word(s): ['shirt'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
(thicc) legs	(THICC) Legs	B	Medium		referent word(s): ['legs'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
(thicc) legs (boots)	(THICC) Legs (BOOTS)	B	Medium		referent word(s): ['boots', 'legs'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
