exact_literal	ascii_fold_key	current_master_path	human_decision	current_status	ascii_family_status	source_review_row	review_priority	suggested_decision	claude_b1_status	adjudication_note
Ass	ass	groupFile/Body Morphs	INCLUDE	IN_MASTER_NON_SEXUAL	APPROVED_ASCII_CARRYALONG of human-approved anchor 'ass'	CARRYALONG_OF:ass	N/A (carry-along, not independently reviewed)	N/A	N/A	ASCII-fold sibling of human-approved anchor literal 'ass'; approved by explicit human carry-along decision (Phase B2 carry-along approval).
Ass1	ass1	groupFile/Body	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	DECIDED — CONSENSUS INCLUDE	INCLUDE_SEXUAL_BONES	INCLUDE_SEXUAL_BONES	Claude and frozen ChatGPT independently agreed.
Ass2	ass2	groupFile/Body	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	DECIDED — CONSENSUS INCLUDE	INCLUDE_SEXUAL_BONES	INCLUDE_SEXUAL_BONES	Claude and frozen ChatGPT independently agreed.
Asshole_1	asshole_1	groupFile/Body	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	DECIDED — CONSENSUS INCLUDE	INCLUDE_SEXUAL_BONES	INCLUDE_SEXUAL_BONES	Claude and frozen ChatGPT independently agreed.
Asshole_2	asshole_2	groupFile/Body Morphs	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	DECIDED — CONSENSUS INCLUDE	INCLUDE_SEXUAL_BONES	INCLUDE_SEXUAL_BONES	Claude and frozen ChatGPT independently agreed.
Asshole_3	asshole_3	groupFile/Body Morphs	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	DECIDED — CONSENSUS INCLUDE	INCLUDE_SEXUAL_BONES	INCLUDE_SEXUAL_BONES	Claude and frozen ChatGPT independently agreed.
Asshole_4	asshole_4	groupFile/Body Morphs	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	DECIDED — CONSENSUS INCLUDE	INCLUDE_SEXUAL_BONES	INCLUDE_SEXUAL_BONES	Claude and frozen ChatGPT independently agreed.
Asshole_5	asshole_5	groupFile/Body	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	DECIDED — CONSENSUS INCLUDE	INCLUDE_SEXUAL_BONES	INCLUDE_SEXUAL_BONES	Claude and frozen ChatGPT independently agreed.
Asshole_6	asshole_6	groupFile/Body	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	DECIDED — CONSENSUS INCLUDE	INCLUDE_SEXUAL_BONES	INCLUDE_SEXUAL_BONES	Claude and frozen ChatGPT independently agreed.
Asshole_7	asshole_7	groupFile/Body Morphs	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	DECIDED — CONSENSUS INCLUDE	INCLUDE_SEXUAL_BONES	INCLUDE_SEXUAL_BONES	Claude and frozen ChatGPT independently agreed.
Asshole_8	asshole_8	groupFile/Body	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	DECIDED — CONSENSUS INCLUDE	INCLUDE_SEXUAL_BONES	INCLUDE_SEXUAL_BONES	Claude and frozen ChatGPT independently agreed.
Asshool_1	asshool_1	groupFile/Body Morphs	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	HUMAN REVIEW — NONCONSENSUS / ONE-STUDY RETRIEVAL	INCLUDE_SEXUAL_BONES		ChatGPT-only Scanner-supported retrieval missed by Claude B0/B1. Direct Scanner hierarchy/name evidence supports sexual structural anatomy.
Asshool_2	asshool_2	groupFile/Body	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	HUMAN REVIEW — NONCONSENSUS / ONE-STUDY RETRIEVAL	INCLUDE_SEXUAL_BONES		ChatGPT-only Scanner-supported retrieval missed by Claude B0/B1. Direct Scanner hierarchy/name evidence supports sexual structural anatomy.
Asshool_3	asshool_3	groupFile/Body	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	HUMAN REVIEW — NONCONSENSUS / ONE-STUDY RETRIEVAL	INCLUDE_SEXUAL_BONES		ChatGPT-only Scanner-supported retrieval missed by Claude B0/B1. Direct Scanner hierarchy/name evidence supports sexual structural anatomy.
Asshool_4	asshool_4	groupFile/Body	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	HUMAN REVIEW — NONCONSENSUS / ONE-STUDY RETRIEVAL	INCLUDE_SEXUAL_BONES		ChatGPT-only Scanner-supported retrieval missed by Claude B0/B1. Direct Scanner hierarchy/name evidence supports sexual structural anatomy.
Asshool_5	asshool_5	groupFile/Body	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	HUMAN REVIEW — NONCONSENSUS / ONE-STUDY RETRIEVAL	INCLUDE_SEXUAL_BONES		ChatGPT-only Scanner-supported retrieval missed by Claude B0/B1. Direct Scanner hierarchy/name evidence supports sexual structural anatomy.
Asshool_6	asshool_6	groupFile/Body	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	HUMAN REVIEW — NONCONSENSUS / ONE-STUDY RETRIEVAL	INCLUDE_SEXUAL_BONES		ChatGPT-only Scanner-supported retrieval missed by Claude B0/B1. Direct Scanner hierarchy/name evidence supports sexual structural anatomy.
Asshool_7	asshool_7	groupFile/Body	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	HUMAN REVIEW — NONCONSENSUS / ONE-STUDY RETRIEVAL	INCLUDE_SEXUAL_BONES		ChatGPT-only Scanner-supported retrieval missed by Claude B0/B1. Direct Scanner hierarchy/name evidence supports sexual structural anatomy.
Asshool_8	asshool_8	groupFile/Body	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	HUMAN REVIEW — NONCONSENSUS / ONE-STUDY RETRIEVAL	INCLUDE_SEXUAL_BONES		ChatGPT-only Scanner-supported retrieval missed by Claude B0/B1. Direct Scanner hierarchy/name evidence supports sexual structural anatomy.
Ball R	ball r	groupFile/Body	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	DECIDED — CONSENSUS INCLUDE	INCLUDE_SEXUAL_BONES	INCLUDE_SEXUAL_BONES	Claude and frozen ChatGPT independently agreed.
Balls.Root	balls.root	groupFile/Body Morphs	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	DECIDED — CONSENSUS INCLUDE	INCLUDE_SEXUAL_BONES	INCLUDE_SEXUAL_BONES	Claude and frozen ChatGPT independently agreed.
Balls_01	balls_01	groupFile/Body	INCLUDE	IN_MASTER_NON_SEXUAL		HUMAN_REVIEW_FILE	DECIDED — CONSENSUS INCLUDE	INCLUDE_SEXUAL_BONES	INCLUDE_SEXUAL_BONES	Claude and frozen ChatGPT independently agreed.
