exact_literal	ascii_fold	current_master_path	final_projected_path	provenance	decision_basis	casefold_carryalong	human_review_status
Left_Breathe_Jnt	left_breathe_jnt	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Right_Breathe_Jnt	right_breathe_jnt	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
a_n_back_L	a_n_back_l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
a_n_headside	a_n_headside	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
a_n_headtop	a_n_headtop	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Ab-NeckSub	ab-necksub	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Adjust_Belly	adjust_belly	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Adjust_Chest	adjust_chest	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Adjust_LowerBack	adjust_lowerback	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Adjust_Spine.L	adjust_spine.l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Adjust_Spine.R	adjust_spine.r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Adjust_Spine_Back	adjust_spine_back	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Adjust_UpperBack	adjust_upperback	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
AnimRoot	animroot	groupFile/RigHelpers	groupFile/RigBody	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
animroot	animroot	groupFile/RigHelpers	groupFile/RigBody	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
b__L_ArmExportPole__	b__l_armexportpole__	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
b__L_LegExportPole__	b__l_legexportpole__	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
back	back	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Back Side.L	back side.l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Back Side.R	back side.r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_0.L	backtwist_0.l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_0.R	backtwist_0.r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_0.L.001	backtwist_0.l.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_0.R.001	backtwist_0.r.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_1.L	backtwist_1.l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_1.R	backtwist_1.r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_1.L.001	backtwist_1.l.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_1.R.001	backtwist_1.r.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_2.L	backtwist_2.l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_2.R	backtwist_2.r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_2.L.001	backtwist_2.l.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_2.R.001	backtwist_2.r.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_3.L	backtwist_3.l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_3.R	backtwist_3.r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_3.L.001	backtwist_3.l.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_3.R.001	backtwist_3.r.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_4.L	backtwist_4.l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_4.R	backtwist_4.r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_4.L.001	backtwist_4.l.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_4.R.001	backtwist_4.r.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_5.L	backtwist_5.l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_5.R	backtwist_5.r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_5.L.001	backtwist_5.l.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_5.R.001	backtwist_5.r.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_6.L	backtwist_6.l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_6.R	backtwist_6.r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_6.L.001	backtwist_6.l.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_6.R.001	backtwist_6.r.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_7.L	backtwist_7.l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_7.R	backtwist_7.r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
