fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
bone_bed_11	bone_bed_11	PARTIAL	"a ""bone""/""bed"" compound, numbered"	NEEDS_CONTEXT		Low	"""bed"" is recognizable but its relation to ""bone"" and its role here are unresolved"	ambiguous compound	P17
r thumb 01	r thumb 01	CLEAR	thumb, right, numbered	CLEAR	groupFile/Arms/RightArm/RightFingers	High		plain finger anatomy	P17
bone_eye_l001	Bone_eye_L001	CLEAR	eye anatomy bone, left, numbered	CLEAR	groupFile/Face/Eyes	High		explicit eye anatomy	P17
bone 702	bone 702	OPAQUE	generic numbered bone, no anatomical content	NOT_APPLICABLE		Low		bare numbered bone label	P17
bobcut.right_2_jiggle	Bobcut.Right_2_jiggle	CLEAR	bob-cut hairstyle jiggle, right, numbered	CLEAR	groupFile/Hair	High		plain hair-style anatomy	P17
back_support_l	Back_Support_L	CLEAR	"a back-positioned ""support"" object, left; the support's ownership/mechanism is not established by ""back"" alone"	NEEDS_CONTEXT		Low	"""back"" names only the location, not the object's ownership or mechanism (same owner-vs-location caution as the torso-pipe precedent)"	location named, object ownership unresolved	P17
leftcalfmuscle	LeftCalfMuscle	CLEAR	calf muscle anatomy, left	CLEAR	groupFile/Legs	High		plain leg-muscle anatomy	P17
bottom_s_l	Bottom_S_L	OPAQUE	"a vague positional label (""bottom""/""S"") with no named object, left"	NOT_APPLICABLE		Low		positional label only, no object	P17
bip01_l_clavicle018	Bip01_L_Clavicle018	CLEAR	clavicle anatomy, left, numbered	CLEAR	groupFile/Arms/LeftArm	High		clavicle/shoulder-girdle anatomy, matches settled clavicle precedent	P17
outbrow_left_out	outBrow_left_OUT	CLEAR	"eyebrow, outer, left, ""out"" direction"	CLEAR	groupFile/Face/Upper Face	High		plain eyebrow expression	P17
c_dred_c2_00	C_Dred_C2_00	CLEAR	dreadlocks hairstyle, center, numbered	CLEAR	groupFile/Hair	Medium		plain hair-style anatomy	P17
eyeslookup	EyesLookUp	CLEAR	eye look-up direction control	CLEAR	groupFile/Face/Eyes	High		plain eye-tracking control	P17
