final_order	exact_literal	ascii_fold	provenance	prior_master_path	human_review_status	casefold_carryalong	decision_basis
1	+left_elbow_aux	+left_elbow_aux	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
2	+left_hip_D	+left_hip_d	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/LeftLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"
3	+left_leg_D	+left_leg_d	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/LeftLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"
4	+LeftElbowAux	+leftelbowaux	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
5	+LeftLegD	+leftlegd	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/LeftLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"
6	+right_elbow_aux	+right_elbow_aux	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
7	+right_hip_D	+right_hip_d	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/RightLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"
8	+right_leg_D	+right_leg_d	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/RightLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"
9	+RightElbowAux	+rightelbowaux	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
10	+RightLegD	+rightlegd	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/RightLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"
