exact_literal	fold_key	family_size	scanner_occurrence_count	source_model_count	representative_source_models	scanner_lines	literal_length	contains_digits	numeric_suffix	lr_marker	separator_structure	very_short	repeated_internal_token	technical_marker_tokens	leading_token_heuristic
 SIDE1LF	 side1lf	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	2813	8	True	False	False	space	False	False		SIDE
 SIDE1RF	 side1rf	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	2814	8	True	False	False	space	False	False		SIDE
(FLEX) Arms	(flex) arms	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9388	11	False	False	False	space	False	False		
(FLEX) Arms + Top	(flex) arms + top	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9389	17	False	False	False	space	False	False		
(FLEX) Bottom	(flex) bottom	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9390	13	False	False	False	space	False	False		
(FLEX) Bottom + Foot	(flex) bottom + foot	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9391	20	False	False	False	space	False	False		
(FLEX) Foot	(flex) foot	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9392	11	False	False	False	space	False	False		
(FLEX) Top	(flex) top	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9393	10	False	False	False	space	False	False		
(RIPPED) Pants (PANTS) 	(ripped) pants (pants) 	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9394	23	False	False	False	space	False	True		
(RIPPED) Shirt (SHIRT)	(ripped) shirt (shirt)	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9395	22	False	False	False	space	False	True		
(THICC) Legs	(thicc) legs	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9396	12	False	False	False	space	False	False		
(THICC) Legs (BOOTS)	(thicc) legs (boots)	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9397	20	False	False	False	space	False	False		
(THICC) Legs (METAL)	(thicc) legs (metal)	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9398	20	False	False	False	space	False	False		
(THICC) Legs (PANTS) 	(thicc) legs (pants) 	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9399	21	False	False	False	space	False	False		
(THICC) Legs (SHIRT)	(thicc) legs (shirt)	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9400	20	False	False	False	space	False	False		
+ Boobs	+ boobs	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9411	7	False	False	False	space	False	False		
+left_foot_D	+left_foot_d	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9413	12	False	False	True	underscore	False	False		
+left_footD	+left_footd	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9412	11	False	False	True	underscore	False	False		
+leg_l	+leg_l	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	2815	6	False	False	True	underscore	False	False		
+leg_r	+leg_r	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	2816	6	False	False	True	underscore	False	False		
+right_elbow_aux_end	+right_elbow_aux_end	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9414	20	False	False	True	underscore	False	False		
+right_footD	+right_footd	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9415	12	False	False	True	underscore	False	False		
- ex	- ex	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9416	4	False	False	False	hyphen+space	True	False		
001	001	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9441	3	True	True	False	none	True	False		
002	002	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9442	3	True	True	False	none	True	False		
003	003	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9443	3	True	True	False	none	True	False		
004	004	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9444	3	True	True	False	none	True	False		
005	005	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9445	3	True	True	False	none	True	False		
006	006	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9446	3	True	True	False	none	True	False		
007	007	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9447	3	True	True	False	none	True	False		
008	008	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9448	3	True	True	False	none	True	False		
009	009	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9449	3	True	True	False	none	True	False		
01	01	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	364	2	True	True	False	none	True	False		
02	02	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	365	2	True	True	False	none	True	False		
03	03	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	366	2	True	True	False	none	True	False		
04	04	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	389	2	True	True	False	none	True	False		
05	05	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	390	2	True	True	False	none	True	False		
