review_order	ascii_fold	exact_family_members	current_master_paths	human_decision	approved_destination	human_reason	decision_status
1	lowerarm_left	lowerArm_left; lowerarm_left	lowerArm_left -> groupFile/Arms/LeftArm; lowerarm_left -> groupFile/Arms/LeftArm	KEEP_CURRENT	groupFile/Arms/LeftArm	Bare primary lower-arm segment bone; no twist/helper/adjust/deformation qualifier anywhere in either exact spelling; parentage under upperarm supports primary anatomical role. Must not enter Helpers.	HUMAN_APPROVED
2	lowerarm_right	lowerArm_right; lowerarm_right	lowerArm_right -> groupFile/Arms/RightArm; lowerarm_right -> groupFile/Arms/RightArm	KEEP_CURRENT	groupFile/Arms/RightArm	Bare primary lower-arm segment bone; no twist/helper/adjust/deformation qualifier anywhere in either exact spelling; parentage under upperarm supports primary anatomical role. Must not enter Helpers.	HUMAN_APPROVED
3	arm left elbow adj 1	arm left elbow adj 1; Arm Left Elbow Adj 1	arm left elbow adj 1 -> groupFile/Arms/LeftArm; Arm Left Elbow Adj 1 -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	"Contains an explicit ""Adj""/""Adjuster"" token -- Silkworm filed it under a generic helper branch, but the name itself more specifically suggests a corrective/pose-fix function (adjusting skin at a joint) rather than a generic twist-distribution bone."	HUMAN_APPROVED
4	arm left elbow adj 2	arm left elbow adj 2; Arm Left Elbow Adj 2	arm left elbow adj 2 -> groupFile/Arms/LeftArm; Arm Left Elbow Adj 2 -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	"Contains an explicit ""Adj""/""Adjuster"" token -- Silkworm filed it under a generic helper branch, but the name itself more specifically suggests a corrective/pose-fix function (adjusting skin at a joint) rather than a generic twist-distribution bone."	HUMAN_APPROVED
5	arm left elbow adjuster	arm left elbow adjuster; Arm Left Elbow Adjuster	arm left elbow adjuster -> groupFile/Arms/LeftArm; Arm Left Elbow Adjuster -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	"Contains an explicit ""Adj""/""Adjuster"" token -- Silkworm filed it under a generic helper branch, but the name itself more specifically suggests a corrective/pose-fix function (adjusting skin at a joint) rather than a generic twist-distribution bone."	HUMAN_APPROVED
6	arm left shoulder adj 1	arm left shoulder adj 1; Arm Left Shoulder Adj 1	arm left shoulder adj 1 -> groupFile/Arms/LeftArm; Arm Left Shoulder Adj 1 -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	"Contains an explicit ""Adj""/""Adjuster"" token -- Silkworm filed it under a generic helper branch, but the name itself more specifically suggests a corrective/pose-fix function (adjusting skin at a joint) rather than a generic twist-distribution bone."	HUMAN_APPROVED
7	arm left shoulder adj 2	arm left shoulder adj 2; Arm Left Shoulder Adj 2	arm left shoulder adj 2 -> groupFile/Arms/LeftArm; Arm Left Shoulder Adj 2 -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	"Contains an explicit ""Adj""/""Adjuster"" token -- Silkworm filed it under a generic helper branch, but the name itself more specifically suggests a corrective/pose-fix function (adjusting skin at a joint) rather than a generic twist-distribution bone."	HUMAN_APPROVED
8	arm left wrist adj	arm left wrist adj; Arm Left Wrist Adj	arm left wrist adj -> groupFile/Arms/LeftArm; Arm Left Wrist Adj -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	"Contains an explicit ""Adj""/""Adjuster"" token -- Silkworm filed it under a generic helper branch, but the name itself more specifically suggests a corrective/pose-fix function (adjusting skin at a joint) rather than a generic twist-distribution bone."	HUMAN_APPROVED
9	arm right elbow adj 1	arm right elbow adj 1; Arm Right Elbow Adj 1	arm right elbow adj 1 -> groupFile/Arms/RightArm; Arm Right Elbow Adj 1 -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	"Contains an explicit ""Adj""/""Adjuster"" token -- Silkworm filed it under a generic helper branch, but the name itself more specifically suggests a corrective/pose-fix function (adjusting skin at a joint) rather than a generic twist-distribution bone."	HUMAN_APPROVED
10	arm right elbow adj 2	arm right elbow adj 2; Arm Right Elbow Adj 2	arm right elbow adj 2 -> groupFile/Arms/RightArm; Arm Right Elbow Adj 2 -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	"Contains an explicit ""Adj""/""Adjuster"" token -- Silkworm filed it under a generic helper branch, but the name itself more specifically suggests a corrective/pose-fix function (adjusting skin at a joint) rather than a generic twist-distribution bone."	HUMAN_APPROVED
11	arm right shoulder adj 1	arm right shoulder adj 1; Arm Right Shoulder Adj 1	arm right shoulder adj 1 -> groupFile/Arms/RightArm; Arm Right Shoulder Adj 1 -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	"Contains an explicit ""Adj""/""Adjuster"" token -- Silkworm filed it under a generic helper branch, but the name itself more specifically suggests a corrective/pose-fix function (adjusting skin at a joint) rather than a generic twist-distribution bone."	HUMAN_APPROVED
12	arm right shoulder adj 2	arm right shoulder adj 2; Arm Right Shoulder Adj 2	arm right shoulder adj 2 -> groupFile/Arms/RightArm; Arm Right Shoulder Adj 2 -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	"Contains an explicit ""Adj""/""Adjuster"" token -- Silkworm filed it under a generic helper branch, but the name itself more specifically suggests a corrective/pose-fix function (adjusting skin at a joint) rather than a generic twist-distribution bone."	HUMAN_APPROVED
13	arm right wrist adj	arm right wrist adj; Arm Right Wrist Adj	arm right wrist adj -> groupFile/Arms/RightArm; Arm Right Wrist Adj -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	"Contains an explicit ""Adj""/""Adjuster"" token -- Silkworm filed it under a generic helper branch, but the name itself more specifically suggests a corrective/pose-fix function (adjusting skin at a joint) rather than a generic twist-distribution bone."	HUMAN_APPROVED
14	leg left knee adj	leg left knee adj; Leg Left Knee Adj	leg left knee adj -> groupFile/Legs/LeftLeg; Leg Left Knee Adj -> groupFile/Legs/LeftLeg	HELPERS	groupFile/Helpers	"Contains an explicit ""Adj""/""Adjuster"" token -- Silkworm filed it under a generic helper branch, but the name itself more specifically suggests a corrective/pose-fix function (adjusting skin at a joint) rather than a generic twist-distribution bone."	HUMAN_APPROVED
15	leg left knee adjuster	leg left knee adjuster; Leg Left Knee Adjuster	leg left knee adjuster -> groupFile/Legs/LeftLeg; Leg Left Knee Adjuster -> groupFile/Legs/LeftLeg	HELPERS	groupFile/Helpers	"Contains an explicit ""Adj""/""Adjuster"" token -- Silkworm filed it under a generic helper branch, but the name itself more specifically suggests a corrective/pose-fix function (adjusting skin at a joint) rather than a generic twist-distribution bone."	HUMAN_APPROVED
16	leg left thigh adj 1	leg left thigh adj 1; Leg Left Thigh Adj 1	leg left thigh adj 1 -> groupFile/Legs/LeftLeg; Leg Left Thigh Adj 1 -> groupFile/Legs/LeftLeg	HELPERS	groupFile/Helpers	"Contains an explicit ""Adj""/""Adjuster"" token -- Silkworm filed it under a generic helper branch, but the name itself more specifically suggests a corrective/pose-fix function (adjusting skin at a joint) rather than a generic twist-distribution bone."	HUMAN_APPROVED
17	leg left thigh adj 2	leg left thigh adj 2; Leg Left Thigh Adj 2	leg left thigh adj 2 -> groupFile/Legs/LeftLeg; Leg Left Thigh Adj 2 -> groupFile/Legs/LeftLeg	HELPERS	groupFile/Helpers	"Contains an explicit ""Adj""/""Adjuster"" token -- Silkworm filed it under a generic helper branch, but the name itself more specifically suggests a corrective/pose-fix function (adjusting skin at a joint) rather than a generic twist-distribution bone."	HUMAN_APPROVED
18	leg right knee adj	leg right knee adj; Leg Right Knee Adj	leg right knee adj -> groupFile/Legs/RightLeg; Leg Right Knee Adj -> groupFile/Legs/RightLeg	HELPERS	groupFile/Helpers	"Contains an explicit ""Adj""/""Adjuster"" token -- Silkworm filed it under a generic helper branch, but the name itself more specifically suggests a corrective/pose-fix function (adjusting skin at a joint) rather than a generic twist-distribution bone."	HUMAN_APPROVED
19	leg right knee adjuster	leg right knee adjuster; Leg Right Knee Adjuster	leg right knee adjuster -> groupFile/Legs/RightLeg; Leg Right Knee Adjuster -> groupFile/Legs/RightLeg	HELPERS	groupFile/Helpers	"Contains an explicit ""Adj""/""Adjuster"" token -- Silkworm filed it under a generic helper branch, but the name itself more specifically suggests a corrective/pose-fix function (adjusting skin at a joint) rather than a generic twist-distribution bone."	HUMAN_APPROVED
20	leg right thigh adj 1	leg right thigh adj 1; Leg Right Thigh Adj 1	leg right thigh adj 1 -> groupFile/Legs/RightLeg; Leg Right Thigh Adj 1 -> groupFile/Legs/RightLeg	HELPERS	groupFile/Helpers	"Contains an explicit ""Adj""/""Adjuster"" token -- Silkworm filed it under a generic helper branch, but the name itself more specifically suggests a corrective/pose-fix function (adjusting skin at a joint) rather than a generic twist-distribution bone."	HUMAN_APPROVED
21	leg right thigh adj 2	leg right thigh adj 2; Leg Right Thigh Adj 2	leg right thigh adj 2 -> groupFile/Legs/RightLeg; Leg Right Thigh Adj 2 -> groupFile/Legs/RightLeg	HELPERS	groupFile/Helpers	"Contains an explicit ""Adj""/""Adjuster"" token -- Silkworm filed it under a generic helper branch, but the name itself more specifically suggests a corrective/pose-fix function (adjusting skin at a joint) rather than a generic twist-distribution bone."	HUMAN_APPROVED
22	valvebiped.bip01_l_foot_helper	ValveBiped.Bip01_L_Foot_Helper; valvebiped.bip01_l_Foot_HELPER	ValveBiped.Bip01_L_Foot_Helper -> groupFile/Legs/LeftLeg; valvebiped.bip01_l_Foot_HELPER -> groupFile/Legs/LeftLeg	HELPERS	groupFile/Helpers	"ValveBiped.Bip01_*_Foot_Helper -- explicit ""Helper"" token and Valve-standard bone naming, but foot/toe-adjacent bones in this Master have an established specific destination (Toes) that Silkworm's generic-helper branch does not account for."	HUMAN_APPROVED
23	valvebiped.bip01_r_foot_helper	ValveBiped.Bip01_R_Foot_Helper; valvebiped.bip01_r_Foot_HELPER	ValveBiped.Bip01_R_Foot_Helper -> groupFile/Legs/RightLeg; valvebiped.bip01_r_Foot_HELPER -> groupFile/Legs/RightLeg	HELPERS	groupFile/Helpers	"ValveBiped.Bip01_*_Foot_Helper -- explicit ""Helper"" token and Valve-standard bone naming, but foot/toe-adjacent bones in this Master have an established specific destination (Toes) that Silkworm's generic-helper branch does not account for."	HUMAN_APPROVED
24	bip_hip_twist_l	bip_hip_twist_l; bip_hip_twist_L	bip_hip_twist_l -> groupFile/Legs/LeftLeg; bip_hip_twist_L -> groupFile/Legs/LeftLeg	HELPERS	groupFile/Helpers	"""Hip twist"" -- unlike forearm/shoulder twist (unambiguously secondary), a hip-twist bone can sometimes function as the primary hip-rotation deform bone in rigs with no separate main hip-rotation control, making its ""secondary"" status less certain than the other twist families in this batch."	HUMAN_APPROVED
25	bip_hip_twist_r	bip_hip_twist_r; bip_hip_twist_R	bip_hip_twist_r -> groupFile/Legs/RightLeg; bip_hip_twist_R -> groupFile/Legs/RightLeg	HELPERS	groupFile/Helpers	"""Hip twist"" -- unlike forearm/shoulder twist (unambiguously secondary), a hip-twist bone can sometimes function as the primary hip-rotation deform bone in rigs with no separate main hip-rotation control, making its ""secondary"" status less certain than the other twist families in this batch."	HUMAN_APPROVED
26	bip_hip_twista_l	bip_hip_twistA_l; bip_hip_twistA_L	bip_hip_twistA_l -> groupFile/Legs/LeftLeg; bip_hip_twistA_L -> groupFile/Legs/LeftLeg	HELPERS	groupFile/Helpers	"""Hip twist"" -- unlike forearm/shoulder twist (unambiguously secondary), a hip-twist bone can sometimes function as the primary hip-rotation deform bone in rigs with no separate main hip-rotation control, making its ""secondary"" status less certain than the other twist families in this batch."	HUMAN_APPROVED
27	bip_hip_twista_r	bip_hip_twistA_r; bip_hip_twistA_R	bip_hip_twistA_r -> groupFile/Legs/RightLeg; bip_hip_twistA_R -> groupFile/Legs/RightLeg	HELPERS	groupFile/Helpers	"""Hip twist"" -- unlike forearm/shoulder twist (unambiguously secondary), a hip-twist bone can sometimes function as the primary hip-rotation deform bone in rigs with no separate main hip-rotation control, making its ""secondary"" status less certain than the other twist families in this batch."	HUMAN_APPROVED
28	bip_hiptwist_l	bip_HipTwist_L; bip_hipTwist_L; bip_hiptwist_L	bip_HipTwist_L -> groupFile/Legs/LeftLeg; bip_hipTwist_L -> groupFile/Legs/LeftLeg; bip_hiptwist_L -> groupFile/Legs/LeftLeg	HELPERS	groupFile/Helpers	"""Hip twist"" -- unlike forearm/shoulder twist (unambiguously secondary), a hip-twist bone can sometimes function as the primary hip-rotation deform bone in rigs with no separate main hip-rotation control, making its ""secondary"" status less certain than the other twist families in this batch."	HUMAN_APPROVED
29	bip_hiptwist_r	bip_HipTwist_R; bip_hipTwist_R; bip_hiptwist_R	bip_HipTwist_R -> groupFile/Legs/RightLeg; bip_hipTwist_R -> groupFile/Legs/RightLeg; bip_hiptwist_R -> groupFile/Legs/RightLeg	HELPERS	groupFile/Helpers	"""Hip twist"" -- unlike forearm/shoulder twist (unambiguously secondary), a hip-twist bone can sometimes function as the primary hip-rotation deform bone in rigs with no separate main hip-rotation control, making its ""secondary"" status less certain than the other twist families in this batch."	HUMAN_APPROVED
