fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	canonical_position
bld_gen_circus_tent_big_a_top_a_mesh	BLD_GEN_Circus_Tent_Big_A_Top_A_Mesh	CLEAR	a circus tent, big, variant A	CLEAR	groupFile/Other	High		recognized environment prop; generator-style prefix does not affect destination (rule 17)	P06	1001
helena head eyeball right	Helena head eyeball right	CLEAR	"right eyeball (""Helena"" character-name prefix)"	CLEAR	groupFile/Face/Eyes	High		eye anatomy; prefix ignored (rule 24)	P06	1002
bone_bed_09	bone_bed_09	CLEAR	a bed, segment 09	CLEAR	groupFile/Other	High		recognized furniture prop (rule 16)	P06	1003
bone 1108	bone 1108	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P06	1004
oris04_l	oris04_L	CLEAR	orbicularis-oris mouth-region muscle, left, segment 04	CLEAR	groupFile/Face/Lower Face	Medium	"""oris"" read as the Latin mouth-muscle term (orbicularis oris)"	mouth-region facial anatomy	P06	1005
leg right knee adjust b	leg right knee adjust b	CLEAR	right knee adjustment control, variant b	CLEAR	groupFile/Legs	High		ordinary knee anatomy	P06	1006
alarm	alarm	CLEAR	an alarm device	CLEAR	groupFile/Other	Medium		recognized prop/device	P06	1007
helper_forearm_r	helper_forearm_R	CLEAR	right forearm helper	CLEAR	groupFile/Arms	High		ordinary arm anatomy, not corrective by itself (rule 4)	P06	1008
bipqwn lcalftwist	BipQwn LCalfTwist	CLEAR	"left calf twist (""Qwn"" character/model prefix)"	CLEAR	groupFile/Legs	High		ordinary twist bone; prefix ignored (rule 24)	P06	1009
nyotengu head nostril left 1	Nyotengu head nostril left 1	CLEAR	"nostril, left, segment 1 (""Nyotengu"" character-name prefix)"	CLEAR	groupFile/Face/Mid Face	High		mid-face anatomy; prefix ignored (rule 24)	P06	1010
legtoetip1_r	LegToeTip1_R	CLEAR	toe tip, right, segment 1	CLEAR	groupFile/Toes/RightToes	High		explicit right toe digit, verified RightToes subpath	P06	1011
belt_r1	Belt_R1	CLEAR	belt garment, right, variant 1	CLEAR	groupFile/Clothing	High		worn garment	P06	1012
l sideburn a phy	l sideburn a phy	CLEAR	sideburn (facial hair), left, physics-sim	CLEAR	groupFile/Hair	High		facial hair control	P06	1013
leg left finger 2	leg left finger 2	CLEAR	"left foot digit, segment 2 (""finger"" used generically for a digit)"	CLEAR	groupFile/Toes/LeftToes	Medium	"""finger"" is generic digit terminology here; ""leg"" anchors it as a foot digit"	explicit leg-anchored digit, verified LeftToes subpath	P06	1014
scale-up	scale-up	CLEAR	"a ""scale up"" size function (object unstated)"	NEEDS_CONTEXT		Low		generic scale function is clear; owning object is not named	P06	1015
pad2_1	pad2_1	PARTIAL	"a ""pad,"" numbered, no anchor"	NEEDS_CONTEXT		Low	materially different core readings: muscle/anatomical pad / paw pad / cushioning object / shoulder-pad garment	bare ambiguous object noun, no owner	P06	1016
bip01_r_hand016	Bip01_R_Hand016	CLEAR	right hand, numbered sub-bone 016	CLEAR	groupFile/Arms	High		ordinary hand-structure anatomy	P06	1017
vwatch	Vwatch	CLEAR	a wristwatch	CLEAR	groupFile/Clothing	Medium		worn accessory, matches watch_face_helper precedent	P06	1018
