exact_literal	ascii_fold	provenance	current_master_path	final_master_path	decision_basis	human_review_status	casefold_carryalong	source_artifact
Left_Breathe_Jnt	left_breathe_jnt	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Right_Breathe_Jnt	right_breathe_jnt	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
a_n_back_L	a_n_back_l	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
a_n_headside	a_n_headside	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
a_n_headtop	a_n_headtop	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Ab-NeckSub	ab-necksub	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Adjust_Belly	adjust_belly	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Adjust_Chest	adjust_chest	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Adjust_LowerBack	adjust_lowerback	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Adjust_Spine.L	adjust_spine.l	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Adjust_Spine.R	adjust_spine.r	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Adjust_Spine_Back	adjust_spine_back	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Adjust_UpperBack	adjust_upperback	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
AnimRoot	animroot	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/RigBody	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
animroot	animroot	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/RigBody	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
b__L_ArmExportPole__	b__l_armexportpole__	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
b__L_LegExportPole__	b__l_legexportpole__	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
back	back	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Back Side.L	back side.l	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Back Side.R	back side.r	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
