fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
28	28	OPAQUE	bare number, no words at all	NOT_APPLICABLE		Low	a number alone carries no semantic content	no interpretable content	1	9468
apron f2	Apron f2	CLEAR	apron (clothing), variant f2	CLEAR	groupFile/Clothing	High		plain garment item	1	9605
arm right roll 1	arm right roll 1	CLEAR	"right arm ""roll"" (rotation/twist) bone, variant 1"	CLEAR	groupFile/Arms	High		twist/roll arm bone, ordinary deformation articulation	1	3436
arm right shoulder twist2	arm right shoulder twist2	CLEAR	right shoulder twist bone, variant 2	CLEAR	groupFile/Arms	High		twist/roll arm bone, ordinary deformation articulation	1	20947
bag back	Bag Back	CLEAR	a bag accessory, back position	CLEAR	groupFile/Clothing	Medium		worn/carried bag accessory	1	10039
belt back right a	belt back right a	CLEAR	belt, back position, right side, variant a	CLEAR	groupFile/Clothing	High		explicit clothing belt control	1	21075
bip collar l	bip collar l	CLEAR	left clothing collar	CLEAR	groupFile/Clothing	High		plain clothing collar	1	21142
bip upperarmbase l	bip upperarmbase l	CLEAR	left upper arm base (shoulder-adjacent root of the upper arm)	CLEAR	groupFile/Arms	High		explicit upper-arm base bone	1	21233
bip01_r_upperarm016	Bip01_R_UpperArm016	CLEAR	right upper arm, numbered sub-bone 016 (likely a deformation-corrective bone)	CLEAR	groupFile/Arms	High		numbered anatomical arm bone, no repair language	1	2032
bip_bobby_l_foretwist1	Bip_BOBBY_L_ForeTwist1	CLEAR	"left forearm twist bone (per-character ""Bobby"" rig), variant 1"	CLEAR	groupFile/Arms	High		twist/roll arm bone, ordinary deformation articulation	1	10568
bip_clockcollarback_l	bip_ClockCollarBack_L	CLEAR	"a ""Clock Collar"" accessory, back position, left side"	CLEAR	groupFile/Clothing	Medium		named clothing/costume accessory (collar)	1	21334
bip_eardown1_l	bip_earDown1_l	CLEAR	"left ear, ""down"" position, variant 1"	CLEAR	groupFile/Face/Ears	High		explicit ear-position control	1	2443
bip_fpinky01_r	Bip_FPinky01_R	CLEAR	right pinky finger, segment 01	CLEAR	groupFile/Arms/RightArm/RightFingers	High		"explicit ""FPinky"" = Finger Pinky"	1	10620
bip_l_neck_b	bip_l_neck_b	CLEAR	left-side neck bone, variant b	CLEAR	groupFile/Body	Medium		neck is an explicit anatomical referent	1	21852
