fold_key	exact_spellings	old_path	new_path	decision	provenance	short_reason
arm00_0	arm00_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm00_1	arm00_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm00_2	arm00_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_0	arm01_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_00	arm01_00	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_01	arm01_01	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_02	arm01_02	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_03	arm01_03	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_04	arm01_04	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_05	arm01_05	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_06	arm01_06	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_07	arm01_07	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_08	arm01_08	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_09	arm01_09	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_1	arm01_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_10	arm01_10	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_11	arm01_11	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_12	arm01_12	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_13	arm01_13	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_14	arm01_14	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_15	arm01_15	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_16	arm01_16	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_17	arm01_17	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_18	arm01_18	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_19	arm01_19	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_2	arm01_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm01_20	arm01_20	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_0	arm02_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_00	arm02_00	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_01	arm02_01	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_02	arm02_02	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_03	arm02_03	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_04	arm02_04	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_05	arm02_05	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_06	arm02_06	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_07	arm02_07	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_08	arm02_08	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_09	arm02_09	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_1	arm02_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_10	arm02_10	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_11	arm02_11	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_12	arm02_12	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_13	arm02_13	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_14	arm02_14	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_15	arm02_15	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_16	arm02_16	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_17	arm02_17	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_18	arm02_18	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_19	arm02_19	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_2	arm02_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm02_20	arm02_20	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm03_0	arm03_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm03_1	arm03_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm03_2	arm03_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm04_0	arm04_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm04_1	arm04_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm04_2	arm04_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm05_0	arm05_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm05_1	arm05_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm05_2	arm05_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm06_0	arm06_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm06_1	arm06_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm06_2	arm06_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm07_0	arm07_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm07_1	arm07_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm07_2	arm07_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm08_0	arm08_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm08_1	arm08_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm08_2	arm08_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
