fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
bottom_3	bottom_3	OPAQUE	a positional label ("bottom") with a number, no object named	NOT_APPLICABLE		Low		matches the settled bare positional-label-no-object precedent	P65
bip01_r_thigh016	Bip01_R_Thigh016	CLEAR	right thigh, numbered	CLEAR	groupFile/Legs	High		plain leg anatomy	P65
light 2	Light 2	CLEAR	a light (environment/prop object), numbered	CLEAR	groupFile/Other	High		recognized environment prop	P65
smallboobs	SmallBoobs	CLEAR	breast anatomy, "small" size	CLEAR	groupFile/Body Morphs	High		explicit shape/size descriptor (rule 7)	P65
ebouterlowererl+ebouterlowererr	EBOuterLowererL+EBOuterLowererR	CLEAR	outer eyebrow lowerer, both sides	CLEAR	groupFile/Face/Upper Face	High		explicit eyebrow feature ("EB")	P65
phone.slide	Phone.Slide	CLEAR	a phone prop's slide mechanism	CLEAR	groupFile/Other	High		recognized prop-object part	P65
bipbrk sunglasses	BipBrk Sunglasses	CLEAR	sunglasses (eyewear accessory)	CLEAR	groupFile/Clothing	High		worn eyewear accessory	P65
wep_gasregulator	WEP_GasRegulator	CLEAR	a weapon gas-regulator part	CLEAR	groupFile/Other	High		recognized weapon-part prop	P65
au6z	AU6Z	OPAQUE	bare alphanumeric code, no object or function named	NOT_APPLICABLE		Low		no readable content	P65
unusedhair 00	unusedhair 00	CLEAR	a self-declared unused/duplicate placeholder, numbered	CLEAR	groupFile/Useless	High		explicit self-declared "unused" marker (rule 15)	P65
bh03.r	Bh03.R	OPAQUE	cryptic fragment ("Bh"), no recoverable anatomical or functional content, numbered, right	NOT_APPLICABLE		Low		matches the settled Bh01.r/Bh11.r/Bh43 sibling precedent (verified current ledger values)	P65
unused b_l_shoulderuhelper	unused b_l_shoulderuhelper	CLEAR	a self-declared unused/duplicate placeholder	CLEAR	groupFile/Useless	High		explicit self-declared "unused" marker (rule 15)	P65
kunoichiposter	kunoichiposter	CLEAR	a poster (kunoichi-themed environment/decorative prop)	CLEAR	groupFile/Other	Medium		recognized environment/decorative prop	P65
shell.wall_31	Shell.Wall_31	CLEAR	a building/shell wall (environment prop), numbered	CLEAR	groupFile/Other	High		matches the sibling shell.wall_54 precedent	P65
upperlip_u	UpperLip_U	CLEAR	upper lip, variant U	CLEAR	groupFile/Face/Lower Face	High		lip is a mouth/lower-face feature	P65
higher right	Higher Right	OPAQUE	a comparative direction word with a side marker, no object named	NOT_APPLICABLE		Low		no owning object or feature is named	P65
legringfinger2_r	LegRingFinger2_R	CLEAR	a control naming both "Leg" and "Ring Finger", right, numbered	NEEDS_CONTEXT		Medium	"Leg" and "Finger" name two materially different anatomical owners with no way to tell which governs	matches the settled Leg+Finger mixed-region precedent	P65
eballraiserl	EBAllRaiserL	CLEAR	eyebrow all-raiser, left	CLEAR	groupFile/Face/Upper Face	High		explicit eyebrow feature ("EB")	P65
head laughline lower right	head laughline lower right	CLEAR	a laugh-line (nasolabial fold), lower, right	CLEAR	groupFile/Face/Mid Face	Medium		cheek/mid-face feature, matching the sibling laughline precedent	P65
drip_jiggle_1	Drip_Jiggle_1	OPAQUE	a "drip" jiggle-physics function, no owning object or body part named, numbered	NOT_APPLICABLE		Low		no reliable core referent; no owner named	P65
pussy chitsu right	pussy chitsu right	CLEAR	genital anatomy ("chitsu" is Japanese for vagina), right	CLEAR	groupFile/Body	High		foreign-language qualifier reinforces the plain genital-anatomy reading (rule 10)	P65
bone_eyes	bone_EYES	CLEAR	eye anatomy, bare	CLEAR	groupFile/Face/Eyes	High		explicit eye-region feature despite the generic "bone" wrapper	P65
leg right knee adj. 1	leg right knee adj. 1	CLEAR	right knee, adjustment, numbered	CLEAR	groupFile/Legs	High		plain leg anatomy	P65
thehelmet	TheHelmet	CLEAR	a helmet (worn headgear)	CLEAR	groupFile/Clothing	High		worn headgear accessory	P65
valvebiped.bip01_vag_back	ValveBiped.Bip01_Vag_Back	CLEAR	genital anatomy, back	CLEAR	groupFile/Body	High		plain structural genital anatomy	P65
eyes_slant2	eyes_slant2	CLEAR	an eye-shape control ("slant"), numbered	CLEAR	groupFile/Face/Eyes	High		explicit eye-region feature	P65
pussy1l+pussy1r	Pussy1L+Pussy1R	CLEAR	genital anatomy, both sides, numbered	CLEAR	groupFile/Body	High		plain structural genital anatomy	P65
lipbottomfoward 	LipBottomFoward 	CLEAR	lower lip, forward	CLEAR	groupFile/Face/Lower Face	High		lip is a mouth/lower-face feature	P65
bip_l_lipbottom1	bip_l_lipbottom1	CLEAR	lower lip, left, numbered	CLEAR	groupFile/Face/Lower Face	High		lip is a mouth/lower-face feature	P65
l_toes_00004	l_toes_00004	CLEAR	left toes, numbered	CLEAR	groupFile/Toes/LeftToes	High		plain toe anatomy, verified LeftToes subpath	P65
12	12	OPAQUE	bare number, no object or function named	NOT_APPLICABLE		Low		no readable content	P65
bone172	Bone172	OPAQUE	generic numbered bone, no anatomical content	NOT_APPLICABLE		Low		matches the settled Bone### precedent	P65
bip_pussyupper_0_l	bip_PussyUpper_0_L	CLEAR	genital anatomy, upper, left, numbered	CLEAR	groupFile/Body	High		plain structural genital anatomy	P65
shirt_exposed_tie_right_1	Shirt_Exposed_Tie_Right_1	CLEAR	a shirt garment tie, right, numbered	CLEAR	groupFile/Clothing	High		explicit garment term	P65
wep_bullet7_shell	WEP_Bullet7_Shell	CLEAR	a bullet shell (ammunition object), numbered	CLEAR	groupFile/Other	High		matches the settled wep_bullet#_shell sibling precedent	P65
smile2_left	smile2_left	CLEAR	a "smile" bare-word expression, left, numbered	CLEAR	groupFile/Face/Lower Face	High		matches the settled bare-word Smile precedent	P65
face-frown	Face-frown	CLEAR	a "frown" bare-word expression	CLEAR	groupFile/Face/Lower Face	High		matches the settled bare-word Frown precedent	P65
valvebiped.group5	ValveBiped.group5	OPAQUE	a generic rig-group node, numbered, no anatomical content	NOT_APPLICABLE		Low		no readable anatomical or functional content	P65
cape root	cape root	CLEAR	a cape garment root/anchor node	CLEAR	groupFile/Clothing	High		explicit garment term	P65
earring.ring_left_3	Earring.Ring_Left_3	CLEAR	an earring (jewelry accessory), left, numbered	CLEAR	groupFile/Clothing	High		worn jewelry/accessory term	P65
bip_hand_rotate1_l	bip_Hand_Rotate1_L	CLEAR	left hand rotation control, numbered	CLEAR	groupFile/Arms	High		plain arm/hand anatomy	P65
small nipples	Small nipples	CLEAR	nipple anatomy, "small" size	CLEAR	groupFile/Body Morphs	High		explicit shape/size descriptor (rule 7)	P65
unused genitalslag04	unused genitalslag04	CLEAR	a self-declared unused/duplicate placeholder, numbered	CLEAR	groupFile/Useless	High		explicit self-declared "unused" marker (rule 15)	P65
keychain.chain_5	Keychain.Chain_5	CLEAR	a keychain (worn/carried accessory), numbered	CLEAR	groupFile/Clothing	Medium		worn/carried decorative accessory	P65
l_upper_leg_rear_helper	l_upper_leg_rear_helper	CLEAR	left upper leg helper bone, rear	CLEAR	groupFile/Legs	High		plain leg anatomy	P65
bone_skin_092	Bone_skin_092	OPAQUE	a generic surface-deformation helper bone, no location named, numbered	NOT_APPLICABLE		Low		"skin" alone names no specific location or feature	P65
bipmar lcalftwist	BipMar LCalfTwist	CLEAR	left calf twist	CLEAR	groupFile/Legs	High		plain leg anatomy	P65
unused b_l_shoulderfhelper	unused b_l_shoulderfhelper	CLEAR	a self-declared unused/duplicate placeholder	CLEAR	groupFile/Useless	High		explicit self-declared "unused" marker (rule 15)	P65
