YOUR_DECISION	exact_literal	review_priority	suggested_decision	adjudication_note	current_master_path	claude_b1_status	chatgpt_candidate	scanner_occurrences	scanner_model_count	representative_parent_bones	representative_hierarchies	representative_models	claude_reason	chatgpt_original_reason	YOUR_NOTES
INCLUDE	lPectoraljiggle	HUMAN REVIEW — UNKNOWN	HUMAN_REVIEW	Pectoral jiggle may function as breast physics, but literal is pectoral/chest and evidence is single-model; review.	groupFile/Body	INCLUDE_SEXUAL_BONES	NO	1	1	parent=lPectoral model=brig.mdl hits=1/1		brig.mdl	structurally confirmed member of an accepted anatomy chain (parent=lPectoral model=brig.mdl hits=1/1)		
INCLUDE	rPectoraljiggle	HUMAN REVIEW — UNKNOWN	HUMAN_REVIEW	Pectoral jiggle may function as breast physics, but literal is pectoral/chest and evidence is single-model; review.	groupFile/Body	INCLUDE_SEXUAL_BONES	NO	1	1	parent=rPectoral model=brig.mdl hits=1/1		brig.mdl	structurally confirmed member of an accepted anatomy chain (parent=rPectoral model=brig.mdl hits=1/1)		
INCLUDE	TailToAnus.Supp	HUMAN REVIEW — UNKNOWN	HUMAN_REVIEW	Anus-related support/helper name, but no Scanner occurrence/hierarchy evidence in attached sources.	groupFile/Body Morphs	HUMAN_REVIEW	NO	0	0				Compound literal combining 'Tail' (ordinary non-sexual anatomy, explicitly excluded per doctrine) and 'Anus' (qualifying anatomy) with a '.Supp' (support) suffix; no Scanner structural evidence available (0 occurrences captured) to disambiguate its actual role.		
INCLUDE	Brk-Rig-BreastHuge-L1	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	1	1			breakfast_princess_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	direct structural sexual/anogenital bone; manually resolved from name/chain evidence	
INCLUDE	Brk-Rig-BreastHuge-L2	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	1	1	parent=Brk-Rig-BreastHuge-L1 model=breakfast_princess_hd.mdl hits=1/1		breakfast_princess_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	direct structural sexual/anogenital bone; manually resolved from name/chain evidence	
INCLUDE	Brk-Rig-BreastHuge-R1	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	1	1			breakfast_princess_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	direct structural sexual/anogenital bone; manually resolved from name/chain evidence	
INCLUDE	Brk-Rig-BreastHuge-R2	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	1	1	parent=Brk-Rig-BreastHuge-R1 model=breakfast_princess_hd.mdl hits=1/1		breakfast_princess_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	direct structural sexual/anogenital bone; manually resolved from name/chain evidence	
INCLUDE	crotch adj	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Terminal/direct groin-crotch structural control; not the pelvis ancestor itself.	groupFile/RigHelpers	HUMAN_REVIEW	YES	1	1			linknude.mdl	Located in groupFile/RigHelpers (the settled doctrine's own 'rig helper' exclusion category) but the literal explicitly names 'crotch' anatomy; no Scanner structural evidence available to disambiguate.	explicit sexual/anogenital anatomical BONE name	
INCLUDE	Fio-Rig-Breast-L	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body Morphs	EXCLUDE	YES	1	1			fionna_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	explicit sexual/anogenital anatomical BONE name	
INCLUDE	Fio-Rig-Breast-R	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body Morphs	EXCLUDE	YES	1	1			fionna_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	explicit sexual/anogenital anatomical BONE name	
