fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	canonical_position
left_13	left_13	OPAQUE	pure positional phrase, no object/function named	NOT_APPLICABLE		Low		positional label with no object/function	P09	1301
wep_boxmagazine_bullet1	WEP_BoxMagazine_Bullet1	CLEAR	weapon box-magazine bullet part, variant 1	CLEAR	groupFile/Other	High		recognized weapon part	P09	1302
bottom_8	bottom_8	PARTIAL	"a ""bottom,"" numbered, no anchor"	NEEDS_CONTEXT		Low	materially different core readings: buttocks / bottom-position marker / bottom garment piece	bare ambiguous object noun, no owner	P09	1303
bip01_l_thigh012	Bip01_L_Thigh012	CLEAR	left thigh, numbered sub-bone 012	CLEAR	groupFile/Legs	High		plain structural anatomy, numbering not corrective (rule 2)	P09	1304
eyes crossing	Eyes crossing	CLEAR	crossed-eyes expression	CLEAR	groupFile/Face/Eyes	High		ordinary eye expression	P09	1305
flm-armb-belt-b1	Flm-ArmB-Belt-B1	CLEAR	"belt garment, variant B1 (""Flm-ArmB"" model/section prefix)"	CLEAR	groupFile/Clothing	High		explicit garment content grounds this regardless of the prefix	P09	1306
cape_7_r	cape_7_R	CLEAR	cape garment, right, variant 7	CLEAR	groupFile/Clothing	High		worn garment	P09	1307
bellyinfliate	BellyInfliate	CLEAR	belly inflate	CLEAR	groupFile/Body Morphs	High	"""Infliate"" read as ""Inflate"""	matches established BellyInflate precedent	P09	1308
head nostril middle upper	head nostril middle upper	CLEAR	"nostril, middle, upper (""head"" location prefix)"	CLEAR	groupFile/Face/Mid Face	High		mid-face anatomy	P09	1309
r_neck_30	r_neck_30	CLEAR	neck (structural anatomy), right, numbered	CLEAR	groupFile/Body	High		plain structural anatomy, no shape/state word (rule 6)	P09	1310
right_15	right_15	OPAQUE	pure positional phrase, no object/function named	NOT_APPLICABLE		Low		positional label with no object/function	P09	1311
brows_inner_adjust	brows_inner_adjust	CLEAR	inner eyebrow adjustment	CLEAR	groupFile/Face/Upper Face	High		ordinary eyebrow anatomy	P09	1312
fh19.r	Fh19.R	OPAQUE	ungrounded two-letter code plus number, right	NOT_APPLICABLE		Low	"a possible ""forehead"" abbreviation reading is not grounded enough to assert"	ungrounded abbreviation	P09	1313
bobcut.rear_center_3_jiggle	Bobcut.Rear_Center_3_jiggle	CLEAR	bob-cut hairstyle, rear center, jiggle physics	CLEAR	groupFile/Hair	High		named hairstyle control	P09	1314
valvebiped.bip01_r_pauldron	ValveBiped.Bip01_R_Pauldron	CLEAR	pauldron (shoulder armor), right	CLEAR	groupFile/Clothing	High		worn protective equipment	P09	1315
earpiece_left	earpiece_left	CLEAR	an earpiece, left	CLEAR	groupFile/Clothing	Medium		worn accessory	P09	1316
tophair2	TopHair2	CLEAR	top-of-head hair, variant 2	CLEAR	groupFile/Hair	High		ordinary hair control, matches TopHair3 precedent	P09	1317
flag7	flag7	CLEAR	a flag, variant 7	CLEAR	groupFile/Other	High		recognized prop	P09	1318
bip_tailc11	bip_tailC11	CLEAR	tail, variant c, segment 11	CLEAR	groupFile/Tail	High		ordinary tail anatomy	P09	1319
knee smooth	Knee Smooth	CLEAR	"knee (structural anatomy), ""smooth"" qualifier"	CLEAR	groupFile/Legs	Medium	"""smooth"" does not meet rule 5's explicit repair/fix/correct/JCM bar"	ordinary knee anatomy, not clearly corrective	P09	1320
muscleforearm	MuscleForeArm	CLEAR	forearm muscle	CLEAR	groupFile/Arms	High		ordinary arm-muscle structural anatomy	P09	1321
def-brows_l	DEF-brows_L	CLEAR	eyebrow, left	CLEAR	groupFile/Face/Upper Face	High		ordinary eyebrow anatomy; DEF- is a generic deform-rig prefix (rule 9/17)	P09	1322
facial_bone_uprlip_r02_m	Facial_Bone_UprLip_R02_m	CLEAR	facial bone, upper lip, right, segment 02	CLEAR	groupFile/Face/Lower Face	High		lip-region facial anatomy	P09	1323
valvebiped.bip01_l_thumb01	ValveBiped.Bip01_L_Thumb01	CLEAR	left thumb	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit left finger digit, verified LeftFingers subpath	P09	1324
lwing06	LWing06	CLEAR	left wing, segment 06	CLEAR	groupFile/Wings	High		"explicit ""wing"" word"	P09	1325
fa_up_lid_left_inner	fa_up_lid_left_inner	CLEAR	upper eyelid, left, inner	CLEAR	groupFile/Face/Eyes	High		ordinary eyelid anatomy	P09	1326
gag_r_05	Gag_R_05	CLEAR	a mouth-gag restraint object, right, variant 05	CLEAR	groupFile/Clothing	Medium		worn/equipped restraint accessory, matches established gag pattern	P09	1327
